sku,category,reviews_count,,sku,category,average_rating,,,
FJ5089,Clothing,35,,FJ5089,Clothing,4.5,,,
BC0770,Shoes,4,,BC0770,Shoes,4.8,,,
GC7946,Clothing,42,,GC7946,Clothing,4.9,,,
FV4744,Shoes,7,,FV4744,Shoes,3.7,,,
GM0239,Clothing,11,,GM0239,Clothing,4.7,,,
FX7449,Shoes,30,,FX7449,Shoes,4.9,,,
GM5505,Clothing,17,,GM5505,Clothing,4.5,,,
GP4975,Clothing,16,,GP4975,Clothing,4.5,,,
FS3923,Clothing,35,,FS3923,Clothing,4.5,,,
GP4967,Clothing,66,,GP4967,Clothing,4.8,,,
GL1127,Clothing,26,,GL1127,Clothing,4.4,,,
B93219,Accessories,5,,B93219,Accessories,4,,,Row Labels
EH8629,Clothing,2,,EH8629,Clothing,5,,,Accessories
CJ5831,Accessories,21,,CJ5831,Accessories,4.8,,,4
GM7499,Accessories,19,,GM7499,Accessories,5,,,4.5
H07758,Clothing,116,,H07758,Clothing,4.8,,,4.6
H07757,Clothing,116,,H07757,Clothing,4.8,,,4.7
FV3143,Shoes,46,,FV3143,Shoes,4.8,,,4.8
H07756,Clothing,116,,H07756,Clothing,4.8,,,4.9
GN9137,Clothing,144,,GN9137,Clothing,4.2,,,5
FZ1757,Shoes,160,,FZ1757,Shoes,4.4,,,Clothing
GY5110,Shoes,63,,GY5110,Shoes,4.5,,,1
GZ8209,Shoes,135,,GZ8209,Shoes,4.6,,,3
FZ2853,Shoes,327,,FZ2853,Shoes,4.6,,,3.7
GL0567,Clothing,116,,GL0567,Clothing,4.8,,,3.9
GK3487,Accessories,10,,GK3487,Accessories,5,,,4
H42010,Clothing,49,,H42010,Clothing,4.7,,,4.1
FW6528,Shoes,106,,FW6528,Shoes,4.3,,,4.2
GS4153,Clothing,7,,GS4153,Clothing,4.4,,,4.3
H07840,Clothing,21,,H07840,Clothing,5,,,4.4
H14698,Clothing,7,,H14698,Clothing,4.4,,,4.5
H39753,Clothing,78,,H39753,Clothing,4.6,,,4.6
GX5152,Shoes,204,,GX5152,Shoes,4.5,,,4.7
H04458,Shoes,9,,H04458,Shoes,5,,,4.8
H48444,Clothing,14,,H48444,Clothing,4.7,,,4.9
HG6676,Clothing,2,,HG6676,Clothing,4,,,5
HG6677,Clothing,2,,HG6677,Clothing,4,,,Shoes
GU3945,Clothing,20,,GU3945,Clothing,4.8,,,3.7
H30296,Clothing,104,,H30296,Clothing,4.7,,,3.8
GK9081,Clothing,88,,GK9081,Clothing,4.9,,,3.9
GY5019,Shoes,120,,GY5019,Shoes,4.2,,,4
GM5537,Clothing,54,,GM5537,Clothing,4.8,,,4.1
GS1343,Clothing,6,,GS1343,Clothing,4,,,4.2
GV7380,Shoes,2540,,GV7380,Shoes,4.7,,,4.3
GZ8211,Shoes,135,,GZ8211,Shoes,4.6,,,4.4
H07839,Clothing,21,,H07839,Clothing,5,,,4.5
GZ7823,Shoes,58,,GZ7823,Shoes,4.7,,,4.6
H00652,Shoes,78,,H00652,Shoes,4.8,,,4.7
H29175,Clothing,8,,H29175,Clothing,4.8,,,4.8
GZ9087,Shoes,183,,GZ9087,Shoes,4.7,,,4.9
HG6687,Clothing,1,,HG6687,Clothing,5,,,5
H20302,Clothing,8,,H20302,Clothing,5,,,(blank)
GV2043,Clothing,2,,GV2043,Clothing,4,,,(blank)
GS1355,Clothing,16,,GS1355,Clothing,4.3,,,Grand Total
GS3913,Clothing,19,,GS3913,Clothing,4.9,,,
H10244,Clothing,16,,H10244,Clothing,4.3,,,
GZ7826,Shoes,58,,GZ7826,Shoes,4.7,,,
EX6581,Accessories,6,,EX6581,Accessories,4.8,,,
H07368,Clothing,14,,H07368,Clothing,4.6,,,
GU0680,Clothing,57,,GU0680,Clothing,4.6,,,
GY3494,Shoes,183,,GY3494,Shoes,4.7,,,
GZ7730,Shoes,26,,GZ7730,Shoes,4.3,,,
H00647,Shoes,78,,H00647,Shoes,4.8,,,
H68075,Shoes,146,,H68075,Shoes,4.6,,,
GV7386,Shoes,377,,GV7386,Shoes,4.6,,,
H02584,Shoes,59,,H02584,Shoes,4.8,,,
H68719,Shoes,515,,H68719,Shoes,3.9,,,
G58922,Shoes,37,,G58922,Shoes,4.6,,,
H00586,Shoes,808,,H00586,Shoes,4.5,,,
GZ7824,Shoes,58,,GZ7824,Shoes,4.7,,,
GZ7825,Shoes,58,,GZ7825,Shoes,4.7,,,
H02939,Shoes,77,,H02939,Shoes,4.2,,,
H00430,Shoes,1,,H00430,Shoes,5,,,
FX6515,Shoes,515,,FX6515,Shoes,3.9,,,
H00428,Shoes,1,,H00428,Shoes,5,,,
H02937,Shoes,77,,H02937,Shoes,4.2,,,
H02936,Shoes,77,,H02936,Shoes,4.2,,,
H02554,Shoes,838,,H02554,Shoes,4.7,,,
GK5265,Clothing,349,,GK5265,Clothing,4.8,,,
GZ9173,Shoes,77,,GZ9173,Shoes,4.2,,,
H04498,Shoes,350,,H04498,Shoes,4.2,,,
S23688,Shoes,8,,S23688,Shoes,4.3,,,
H31065,Clothing,349,,H31065,Clothing,4.8,,,
H02975,Shoes,350,,H02975,Shoes,4.2,,,
H06648,Clothing,344,,H06648,Clothing,4.6,,,
GH7532,Accessories,62,,GH7532,Accessories,4.6,,,
GM0307,Clothing,387,,GM0307,Clothing,4.8,,,
H06672,Clothing,214,,H06672,Clothing,4.8,,,
H13911,Clothing,293,,H13911,Clothing,4.7,,,
GL0880,Accessories,14,,GL0880,Accessories,4.8,,,
H07890,Clothing,91,,H07890,Clothing,4.4,,,
GU6982,Accessories,273,,GU6982,Accessories,4.9,,,
GI7670,Accessories,273,,GI7670,Accessories,4.9,,,
GK3479,Accessories,60,,GK3479,Accessories,4.8,,,
GN3533,Clothing,88,,GN3533,Clothing,4.7,,,
GM3494,Clothing,47,,GM3494,Clothing,4.7,,,
